,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep
08:19,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
08:20,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
08:21,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
08:22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
08:23,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
08:24,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
08:25,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
08:26,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
08:27,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
08:28,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
08:29,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
08:30,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236
08:31,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
08:32,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312
08:33,322,322,322,322,322,322,322,322,322,322,322,322,322,322,322
08:34,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
08:35,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
08:36,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
08:37,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
08:38,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
08:39,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
08:40,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
08:41,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
08:42,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
08:43,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
08:44,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
08:45,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
08:46,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
08:47,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
08:48,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
08:49,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
08:50,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
08:51,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
08:52,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
08:53,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
08:54,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
08:55,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238
08:56,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
08:57,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
08:58,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
08:59,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284
09:00,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
09:01,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
09:02,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
09:03,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
09:04,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
09:05,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
09:06,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
09:07,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
09:08,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256
09:09,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
09:10,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277
09:11,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
09:12,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
09:13,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344
